ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (May 2020)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2020-05-01,01,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,4
,02,3,3,3,3,3,2,3,3,3,2,3,2,2,3,3,4
,03,3,3,3,3,3,2,2,2,3,2,3,2,2,3,3,3
,04,3,3,2,3,3,2,2,2,3,2,2,2,2,3,3,3
,05,3,3,2,3,3,2,2,2,3,2,2,2,2,3,3,4
,06,3,3,3,3,3,2,2,2,3,3,2,2,1,3,3,4
,07,3,3,3,3,3,2,2,2,3,3,2,2,2,3,3,4
,08,3,3,3,3,3,3,2,2,3,3,2,2,2,3,3,4
,09,3,3,3,3,3,3,3,2,3,3,2,3,2,4,3,4
,10,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,4
,11,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,4
,12,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
,13,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4
,14,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4
,15,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4
,16,3,3,4,3,3,3,4,3,3,3,4,3,4,4,4,4
,17,3,3,4,3,3,3,4,3,3,3,4,3,4,4,3,4
,18,3,3,4,3,3,3,4,3,3,3,4,3,4,4,3,4
,19,3,3,4,3,3,3,4,3,3,3,4,3,4,4,3,4
,20,3,4,4,3,3,3,4,3,3,2,4,3,4,4,4,5
,21,3,4,4,3,3,3,4,3,3,2,4,3,3,4,4,5
,22,3,3,4,3,3,3,4,3,3,2,3,3,3,4,4,4
,23,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,4
,24,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,4
,Daily Max,3,4,4,3,3,3,4,3,3,3,4,3,4,4,4,5
2020-05-02,01,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,4
,02,3,2,3,3,3,2,3,2,3,2,3,3,3,3,3,4
,03,3,2,3,3,3,2,3,2,3,2,3,3,3,3,3,4
,04,3,2,3,3,3,2,3,2,3,2,3,2,2,3,3,3
,05,3,3,3,3,3,2,3,2,3,2,3,2,2,3,3,3
,06,3,3,3,3,3,2,2,2,3,2,2,2,2,3,3,3
,07,3,2,3,3,3,2,2,2,3,2,2,2,2,3,3,4
,08,3,2,3,3,3,2,2,2,3,2,2,2,2,3,3,4
,09,2,2,3,3,3,2,2,2,3,2,2,2,2,3,3,4
,10,2,3,3,2,3,3,3,2,3,2,3,2,3,3,3,4
,11,3,3,3,2,3,3,3,2,3,3,3,3,4,3,3,4
,12,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,4
,13,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,5
,14,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5
,15,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5
,16,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,5
,17,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,5
,18,3,3,4,3,3,3,3,3,4,4,4,3,3,4,3,5
,19,3,3,4,3,3,3,3,3,4,3,3,3,3,4,4,5
,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
,21,3,2,3,2,3,2,3,2,3,3,3,2,2,3,3,4
,22,2,2,3,2,3,2,2,2,3,2,3,2,2,3,3,4
,23,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3
,24,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
,Daily Max,3,3,4,3,3,3,3,3,4,4,4,3,4,4,4,5
2020-05-03,01,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
,02,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3
,03,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3
,04,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3
,05,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3
,07,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3
,08,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
,11,2,2,2,2,3,2,2,2,3,3,2,2,2,3,3,3
,12,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3
,13,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
,14,3,3,4,3,3,3,4,3,4,4,4,4,3,4,4,4
,15,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,5
,16,4,3,4,3,3,4,5,4,4,4,4,4,4,4,4,4
,17,3,3,4,3,3,3,5,4,4,4,5,4,4,4,4,4
,18,3,3,4,3,3,3,4,4,4,4,5,3,4,3,3,4
,19,3,3,3,3,2,3,4,3,4,3,4,3,4,3,3,4
,20,3,2,3,2,2,2,3,2,3,3,3,3,3,3,3,3
,21,2,2,2,2,2,2,3,2,3,3,3,2,3,2,2,3
,22,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3
,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
,Daily Max,4,3,4,3,3,4,5,4,4,4,5,4,4,4,4,5
2020-05-04,01,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
,02,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
,03,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
,04,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2
,05,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2
,06,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2
,07,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2
,08,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3
,10,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,11,2,2,3,2,2,2,2,2,2,3,2,2,2,3,3,4
,12,3,2,3,2,3,2,3,2,3,3,3,3,2,3,3,4
,13,3,3,3,3*,3,3,3,3,3,3,3,3,2,4*,3,5
,14,3,3,4,3*,3,3,3,4,4,4,4,3,3,4*,4,5
,15,3,3,3,3,3,3,3,4,4,4,4,3,3,4*,3,5
,16,2,3,3,3,3,3,3,3,4,3,4,3,3,4*,3,4
,17,2,2,3,2,2,2,3,3,3,2,3,3,3,3*,2,4
,18,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,3
,19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
,21,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
,22,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
,23,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,3
,24,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,3
,Daily Max,3,3,4,3,3,3,3,4,4,4,4,3,3,4,4,5
2020-05-05,01,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,3
,02,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
,03,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2
,04,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2
,05,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2
,06,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2
,07,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2
,08,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3
,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
,11,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4
,12,2,2,3,2,2,2,2,2,2,2*,2,2*,2,3*,3,4
,13,2,2,3,2,2,2,2,2,2,2*,2,2*,2,3*,3,4
,14,2,2,3,2,2,2,2,2,2,2*,2,2*,2,3*,3,4
,15,2,2,3,2,3,2,2,2,2,2*,2,2*,2,3*,3,4
,16,2,2,3,3,3,2,2,2,3,2,3,2,2,3,3,4
,17,2,2,3,3,3,2*,2,2,3,2,3,2,2,3,3,4
,18,2,2,3,2,3,2*,2,2,3,2,2,2,2,3,3,4
,19,2,2,3,2,2,2,2,2,3,2,2,2,2,3,3,4
